symbol,train_size,validation_size,test_size,feature_count,baseline_rmse_val,baseline_rmse_test,proxy_rmse_val,proxy_rmse_test,xgboost_rmse_val,xgboost_rmse_test,best_params,search_stage,accepted
BTC/USDT,90655,19426,19427,55,2.8193557969526837e-05,2.3631859713898763e-05,2.208290125571836e-05,1.8669737498182573e-05,2.125515234239643e-05,1.767691660057757e-05,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""min_child_weight"": 1}",stage_1,True
ETH/USDT,90656,19426,19427,55,3.2290778623426026e-05,4.116352038788613e-05,2.5414959191373834e-05,3.1618527760572746e-05,2.4131365504056847e-05,3.043713735124203e-05,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""min_child_weight"": 1}",stage_1,True
